-0.642-0.554-0.687-0.263-0.306-0.260-0.773-0.729-0.726-0.384-0.340-0.337-0.652-0.695-0.649-0.253-0.166-0.298-0.779-0.871-0.780-0.390-0.483-0.391-0.643-0.556-0.688-0.263-0.306-0.260-0.774-0.729-0.727-0.386-0.341-0.339-0.655-0.697-0.655-0.255-0.168-0.300-0.778-0.870-0.779-0.393-0.485-0.3940.1260.0830.1280.5240.6120.479-0.002-0.094-0.0030.3870.2940.3860.1360.2220.0900.5140.4710.5170.0040.0490.0510.3920.4370.4390.1240.0810.1270.5230.6100.478-0.003-0.095-0.0030.3850.2930.3840.1360.2230.0910.5140.4710.5170.0030.0470.0500.3930.4380.441-0.779-0.780-0.871-0.390-0.391-0.483-0.651-0.649-0.694-0.253-0.298-0.166-0.641-0.554-0.687-0.263-0.306-0.260-0.773-0.729-0.726-0.384-0.340-0.337-0.773-0.728-0.726-0.384-0.340-0.337-0.641-0.687-0.554-0.263-0.260-0.306-0.651-0.695-0.649-0.253-0.166-0.298-0.779-0.871-0.780-0.390-0.483-0.391-0.779-0.780-0.872-0.391-0.392-0.483-0.652-0.649-0.695-0.253-0.298-0.166-0.641-0.554-0.687-0.263-0.306-0.261-0.773-0.728-0.726-0.384-0.340-0.337-0.773-0.728-0.726-0.386-0.342-0.338-0.641-0.687-0.555-0.265-0.262-0.308-0.652-0.695-0.649-0.253-0.166-0.298-0.779-0.871-0.780-0.391-0.483-0.3920.0040.0490.0520.3930.4370.4400.1360.0910.2230.5140.5170.4710.1260.0830.1280.5240.6120.479-0.002-0.094-0.0030.3870.2940.386-0.002-0.003-0.0940.3870.3860.2940.1250.1280.0820.5240.4790.6110.1360.2230.0900.5140.4710.5170.0040.0490.0520.3930.4370.4400.0040.0480.0510.3910.4360.4390.1340.0890.2210.5130.5160.4700.1250.0820.1270.5240.6110.479-0.002-0.094-0.0030.3860.2940.385-0.004-0.004-0.0960.3870.3860.2940.1260.1280.0820.5240.4790.6110.1360.2230.0900.5140.4710.5170.0030.0480.0510.3930.4370.440-0.779-0.780-0.871-0.390-0.391-0.483-0.652-0.649-0.695-0.253-0.298-0.166-0.773-0.729-0.726-0.384-0.340-0.337-0.641-0.686-0.554-0.263-0.260-0.306-0.779-0.780-0.871-0.390-0.391-0.483-0.651-0.649-0.695-0.253-0.298-0.166-0.773-0.728-0.726-0.385-0.340-0.337-0.642-0.687-0.555-0.263-0.261-0.3060.0040.0490.0510.3930.4370.4400.1360.0910.2230.5140.5170.471-0.002-0.003-0.0940.3870.3860.2940.1260.1280.0830.5240.4790.6120.0040.0490.0510.3920.4370.4400.1360.0900.2230.5140.5170.471-0.002-0.003-0.0940.3870.3860.2940.1260.1280.0820.5240.4790.6116


         -1.574	0.128     0.274

         -1.795	0.524     0.363

         -1.791	0.612     0.403

         -1.717	0.479     0.396

         -1.799	-0.002     0.455

         -1.795	-0.094     0.430

         -1.796	-0.003     0.550

         -1.575	0.387     0.455

         -1.571	0.294     0.430

         -1.571	0.386     0.551

         -1.350	-0.002     0.004

         -1.347	-0.003     -0.091

         -1.346	-0.094     0.029

         -1.126	0.387     0.004

         -1.123	0.386     -0.092

         -1.122	0.294     0.029

         -1.122	0.125     0.089

         -1.125	0.128     0.185

         -1.204	0.082     0.064

         -1.346	0.524     0.096

         -1.268	0.479     0.063

         -1.342	0.611     0.057

         -1.121	0.136     0.362

         -1.117	0.223     0.402

         -1.044	0.090     0.396

         -1.347	0.514     0.369

         -1.429	0.471     0.395

         -1.350	0.517     0.274

         -1.342	0.004     0.462

         -1.420	0.049     0.429

         -1.269	0.052     0.422

         -1.118	0.393     0.462

         -1.196	0.437     0.429

         -1.044	0.440     0.422

         -0.893	0.004     -0.003

         -0.971	0.048     0.030

         -0.820	0.051     0.037

         -0.669	0.391     -0.003

         -0.747	0.436     0.030

         -0.596	0.439     0.037

         -0.672	0.134     0.096

         -0.594	0.089     0.063

         -0.667	0.221     0.056

         -0.898	0.513     0.089

         -0.900	0.516     0.185

         -0.980	0.470     0.064

         -0.673	0.125     0.369

         -0.755	0.082     0.394

         -0.676	0.127     0.274

         -0.897	0.524     0.362

         -0.893	0.611     0.402

         -0.819	0.479     0.395

         -0.902	-0.002     0.455

         -0.897	-0.094     0.430

         -0.898	-0.003     0.550

         -0.677	0.386     0.455

         -0.673	0.294     0.430

         -0.674	0.385     0.550

         -0.452	-0.004     0.004

         -0.448	-0.004     -0.092

         -0.448	-0.096     0.029

         -0.229	0.387     0.004

         -0.225	0.386     -0.091

         -0.225	0.294     0.029

         -0.225	0.126     0.090

         -0.228	0.128     0.185

         -0.307	0.082     0.065

         -0.449	0.524     0.096

         -0.371	0.479     0.063

         -0.444	0.611     0.057

         -0.224	0.136     0.363

         -0.220	0.223     0.403

         -0.146	0.090     0.396

         -0.450	0.514     0.369

         -0.531	0.471     0.395

         -0.452	0.517     0.274

         -0.444	0.003     0.462

         -0.522	0.048     0.429

         -0.371	0.051     0.422

         -0.220	0.393     0.462

         -0.298	0.437     0.429

         -0.147	0.440     0.422

         -1.799	-0.779     0.735

         -1.795	-0.780     0.639

         -1.795	-0.871     0.760

         -1.575	-0.390     0.735

         -1.571	-0.391     0.639

         -1.571	-0.483     0.760

         -1.571	-0.652     0.821

