Shoot biomass(gm) in each treatment,,,,,,,,,,,,,,,,
total_sum,treatment_5,treatment_10,treatment_15,treatment_20,treatment_25,treatment_30,treatment_35,,,treatment_5,treatment_10,treatment_15,treatment_20,treatment_25,treatment_30,treatment_35
,,,,5.13,4.19,4.84,5.12,,,,,,,,,
,,,,6.5,9.13,5.27,4.37,,,,,,,,,
,,,,3.85,2.41,1.26,7.79,,,,,,,,,
,,,,6.27,5.03,3.86,5.32,,,,,,,,,
,,,,9.81,8.59,5.99,5.62,,,,,,,,,
,,,,5.73,6.87,2.66,6.2,,,,,,,,,
,,,,7.61,7.96,4.91,2.16,,,,,,,,,
,,,,4.51,7.58,6.24,4.73,,,,,,,,,
,,,,3.72,6.89,5.89,4.15,,,,,,,,,
,,,,8.42,5.81,6.04,6.28,,,,,,,,,
,,,,5.04,8.24,7.99,6.14,,,,,,,,,
,,,,9.62,8.65,10.24,7.27,,,,,,,,,
,,,,9.4,3.74,6.19,5.19,,,,,,,,,
,,,,5.01,5.61,3.67,2.95,,,,,,,,,
,,,,9.62,8.97,1.55,3.62,,,,,,,,,
,,,,9.4,7.05,7.08,6.86,,,,,,,,,
,,,,5.01,1.82,5.15,1.56,,,,,,,,,
,,,,9.96,9.61,5.19,2.27,,,,,,,,,
,,,,8.36,7.41,6.94,5.57,,,,,,,,,
,,,,10.27,9.88,3.12,4.25,,,,,,,,,
,,,,8.13,7.76,6.69,5.6,,,,,,,,,
,,,,7.67,10.03,8.55,4.99,,,,,,,,,
,,,,4.02,7.84,6.76,8.71,,,,,,,,,
,,,,9.36,12.21,5.48,4.16,,,,,,,,,
,,,,6.22,5.21,4.86,4.76,,,,,,,,,
,,,,7.69,3.66,8.26,2.33,,,,,,,,,
,,,,10.12,8.43,7.92,5.7,,,,,,,,,
,,,,6.56,7.13,5.94,6.58,,,,,,,,,
,,,,3.86,4.63,4.72,6.2,,,,,,,,,
,,,,8.04,1.01,3.34,4.86,,,,,,,,,
total_sum,,,,,1.11,2.87,2.04,,,,,,,,,
,,,,,5.54,7.41,5.9,,,,,,,,,
,,,,,9.66,3.84,4.23,,,,,,,,,
,,,,,10.92,6.87,8.78,,,,,,,,,
,,,,,10.67,6.53,0.92,,,,,,,,,
,,,,,5.37,4.4,6.9,,,,,,,,,
,,,,,7.3,6.42,6.35,,,,,,,,,
,,,,,2.94,6.49,3.82,,,,,,,,,
